2018-05-13 22:32:41,555 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-05-13 22:32:41,555 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project\src\test\resources
2018-05-13 22:32:43,072 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-05-13 22:32:43,072 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project\src\main\resources
2018-05-13 22:32:43,073 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-05-13 22:32:43,073 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project\src\test\resources
2018-05-13 22:33:12,926 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-05-13 22:33:12,926 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project\src\main\resources
2018-05-13 22:33:12,934 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-05-13 22:33:12,934 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project\src\test\resources
2018-05-13 22:35:04,081 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-05-13 22:35:10,208 [Worker-77] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\kumark\Desktop\Spring_MVC\First_Project\first-project
2018-05-13 22:35:10,208 [Worker-77] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2018-05-13 22:38:04,757 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-j2ee-simple/1.0/maven-archetype-j2ee-simple-1.0.jar
2018-05-13 22:38:06,490 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-j2ee-simple/1.0/maven-archetype-j2ee-simple-1.0.jar
2018-05-13 22:38:06,809 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-j2ee-simple/1.0/maven-archetype-j2ee-simple-1.0.pom
